store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
ad12d339-9948-4b53-b18f-afe10d8674c4,0.0,60.0,0.0,23.984722222222217,0.0,167.8966666666667
2e9a0a19-29ea-4db5-bdab-1f5ec2696523,0.0,60.0,4.038055555555555,19.94805555555556,17.381388888888885,100.03
04f696a6-bb96-44da-83f6-aba3df0db6dd,0.0,60.0,0.0,23.987222222222222,0.0,144.92138888888894
8a2cb25f-7409-4a1c-a488-853ab258d13b,0.0,0.0,1.5,0.0,10.5,0.0
33103a96-acc2-4605-9fa8-10363dc900fb,0.0,60.0,0.0,12.0,0.0,84.145
a6e1ccaa-30b6-4ace-8f98-8149c3929de2,60.0,0.0,7.071944444444444,5.000277777777778,56.435833333333335,27.13638888888888
e699af9b-1281-4965-8729-cb563d5a2ad4,0.0,60.0,0.0,12.0,0.0,84.1447222222222
c3c77f5e-ac92-4673-8f18-6e28202ea3bd,0.0,60.0,0.0,11.5,0.0,81.14722222222224
22180c58-c269-4ba3-9d20-3aa9c579f5c4,60.0,0.0,15.499999999999998,0.0,86.57388888888889,0.07555555555555556
0df9efde-41eb-4883-a735-ddaac7184a08,0.0,60.0,0.0,7.075,0.0,15.074722222222222
b7eb80e7-4177-4477-89c6-baa7924cad61,0.0,60.0,0.0,23.07583333333334,0.0,161.52972222222215
1a50eb14-0836-47ab-a782-a42d44a95999,0.0,0.0,0.0,2.5,0.0,17.5
81a71c20-9b3a-4a64-b6e5-fbe81e6d2356,0.0,0.0,1.1619444444444444,0.5880555555555556,6.974722222222222,4.3630555555555555
4935cd2b-649e-4069-9b9b-b0da68f30796,0.0,60.0,0.0,23.07861111111111,0.0,104.7361111111111
a91a483d-1138-4651-9a5c-4f3051afccc6,0.0,60.0,0.0,7.582777777777777,0.0,56.080000000000005
02837d4e-3d98-44ee-8533-1c6821ae5ab8,0.0,60.0,0.0,23.080555555555556,0.0,100.08027777777775
ed934535-5d26-4343-b963-0d6a0e4a5655,0.0,60.0,0.0,23.167777777777776,0.0,162.16416666666663
4e348bde-4230-4a02-ac54-1564a07a7283,0.0,60.0,0.0,11.25,0.0,78.91555555555556
